simulator,budget,arm,n_macroreps,mean_max_pairwise_score_ks,sd_max_pairwise_score_ks,mcse_max_pairwise_score_ks,mean_mean_pairwise_score_ks,sd_mean_pairwise_score_ks,mcse_mean_pairwise_score_ks,mean_bin_mean_score_range,sd_bin_mean_score_range,mcse_bin_mean_score_range
mm1_sojourn,100,fixed,50,0.34600000000000003,0.07168525308739644,0.010137825713834384,0.18840444444444443,0.02955051497433122,0.0041790739051808445,0.08603305296046657,0.029434676720156084,0.004162691902171234
mm1_sojourn,100,oracle,50,0.3078,0.06098812196164235,0.008625022922181902,0.16217777777777775,0.025193951611107313,0.003562962805819945,0.03873966320901046,0.01126117797921767,0.0015925710626506872
mm1_sojourn,100,plugin_sd_nw,50,0.37739999999999996,0.09774623537820903,0.013823405174277605,0.18825777777777777,0.03441464177725947,0.004866965314561205,0.059702846233717535,0.019780430071753424,0.0027973752477046306
mm1_sojourn,250,fixed,50,0.2522,0.05610813175449341,0.00793488808866211,0.14514666666666667,0.021020733145403602,0.002972780590525542,0.058403920071409994,0.019038806200143428,0.0026924937939635804
mm1_sojourn,250,oracle,50,0.24880000000000002,0.05957810856689026,0.008425616915583288,0.13679555555555556,0.021819437685745863,0.003085734469853642,0.031946721063788486,0.009499975897345575,0.0013434994756243625
mm1_sojourn,250,plugin_sd_nw,50,0.3184,0.05908693007867687,0.00835615378762556,0.16175555555555554,0.021985828826455306,0.003109265730638644,0.050322406034219676,0.014660718202478436,0.0020733386516075107
mm1_sojourn,500,fixed,50,0.24320000000000003,0.04127755727624732,0.005837528132170119,0.13555555555555554,0.013688320511214568,0.001935820851306946,0.05391092850678919,0.013298730808653243,0.0018807245471946334
mm1_sojourn,500,oracle,50,0.223,0.038926933124110615,0.00550509967657077,0.12493333333333334,0.013678819514145936,0.0019344772074158933,0.028361546269002173,0.006975236161765362,0.0009864473580723826
mm1_sojourn,500,plugin_sd_nw,50,0.3046,0.05599599111015147,0.007919029006649947,0.14897333333333335,0.014886952187303472,0.0021053329685684383,0.04535363349409203,0.012328350028075903,0.0017434919811387668
mm1_sojourn,1000,fixed,50,0.22419999999999998,0.041898322015984146,0.005925317523568002,0.13008,0.013807426222741422,0.0019526649425666833,0.05184836418735239,0.012192178802156818,0.0017242344616887927
mm1_sojourn,1000,oracle,50,0.23079999999999998,0.04169079573454544,0.0058959688753920545,0.13020444444444446,0.013474598593510525,0.0019055960078476013,0.03190127392911313,0.008547764554786208,0.0012088364561350675
mm1_sojourn,1000,plugin_sd_nw,50,0.28600000000000003,0.061312182096785524,0.008670851945996295,0.14726222222222224,0.017080453142895285,0.0024155408486160666,0.043522144924927425,0.011823090589446588,0.0016720375060761076
raised_floor_gauss,100,fixed,50,0.5642,0.08181836528530244,0.011570864183767073,0.2770933333333333,0.03107295489774183,0.004394379423939398,0.17596566998671023,0.03124757522614644,0.004419074467608983
raised_floor_gauss,100,oracle,50,0.29100000000000004,0.06112048990080401,0.00864374257566048,0.1509822222222222,0.017810971845045508,0.00251885179423087,0.05765717804582583,0.013674584962435217,0.0019338783513699062
raised_floor_gauss,100,plugin_sd_nw,50,0.6960000000000001,0.05034574339058884,0.007119963311072634,0.3461511111111112,0.024792103685242872,0.003506132927143046,0.1731690581366054,0.02506098409771115,0.003544158359739957
raised_floor_gauss,250,fixed,50,0.5712,0.06394002291688865,0.009042484758751043,0.26067999999999997,0.02171365496159924,0.003070774533538349,0.16920677139498547,0.020515080525026756,0.0029012705111668992
raised_floor_gauss,250,oracle,50,0.2964,0.052089405088261265,0.0073665543131765186,0.14873777777777777,0.01751077500051525,0.0024763975493392407,0.0578190083969746,0.013182138688195514,0.0018642359313929175
raised_floor_gauss,250,plugin_sd_nw,50,0.5902000000000001,0.06215484285070567,0.008790022172663635,0.2867955555555556,0.025079971461425564,0.0035468435784678206,0.13670250624097036,0.01646759977578107,0.0023288702942641727
raised_floor_gauss,500,fixed,50,0.5494,0.04017360286739215,0.005681405402445663,0.2546177777777778,0.015296138791536813,0.0021632006930932565,0.16015568500603408,0.014188749678469987,0.0020065922228409147
raised_floor_gauss,500,oracle,50,0.29600000000000004,0.04179639668093656,0.005910903104450629,0.1503822222222222,0.013268173359141561,0.0018764030712415383,0.05663561947522308,0.010188599867776003,0.0014408856114601547
raised_floor_gauss,500,plugin_sd_nw,50,0.5216000000000001,0.04432532790490727,0.006268547987975446,0.2545511111111111,0.018710360265230704,0.002646044524397592,0.11813191093802673,0.013437979719451546,0.0019004173170142976
raised_floor_gauss,1000,fixed,50,0.531,0.05019350311645963,0.007098433285031342,0.24092444444444447,0.017286194404981182,0.00244463705693423,0.1529915449433503,0.016035932857128392,0.0022678233731855306
raised_floor_gauss,1000,oracle,50,0.2962,0.04827176467984285,0.00682665842899163,0.1482488888888889,0.014982421210414517,0.0021188343272954533,0.05632198511967955,0.011199111322027923,0.001583793511813797
raised_floor_gauss,1000,plugin_sd_nw,50,0.46760000000000007,0.04182373117974912,0.00591476878634477,0.2244488888888889,0.01889534316833731,0.0026722050574356435,0.10061288221499275,0.011900895498355652,0.0016830407818159475
raised_floor_t3,100,fixed,50,0.6056,0.0681582791772809,0.009639036280052237,0.30376000000000003,0.0262589327564677,0.003713573883763974,0.17855972890830582,0.02421242927349546,0.003424154585657662
raised_floor_t3,100,oracle,50,0.3136,0.0631085879857173,0.008924902103161715,0.16118222222222223,0.02005497307588135,0.002836201491693867,0.058144925680269494,0.01447393794778271,0.002046923934670091
raised_floor_t3,100,plugin_sd_nw,50,0.6780000000000002,0.057498890849994586,0.00813157112614726,0.3345066666666666,0.023979752944356218,0.003391249183626472,0.15686876184419274,0.021715100440386624,0.0030709789551088733
raised_floor_t3,250,fixed,50,0.7388000000000001,0.04623100823526328,0.006538051884849157,0.3542533333333334,0.02398630708736955,0.003392176079420391,0.2261310843082351,0.019421533698563954,0.002746619635859524
raised_floor_t3,250,oracle,50,0.4426,0.043976338721486784,0.00621919346434397,0.20389333333333334,0.019316005475338467,0.0027316956914096623,0.0819692414563702,0.009271032913342312,0.0013111220483256044
raised_floor_t3,250,plugin_sd_nw,50,0.6142,0.050146316526984196,0.007091760093551513,0.2972533333333333,0.023051412517405938,0.0032599620213972407,0.13842748993796042,0.01982749830644939,0.00280403170129103
raised_floor_t3,500,fixed,50,0.7276,0.04662310892373315,0.006593503295994149,0.34467555555555557,0.0210835222521479,0.00298166031115825,0.21399489844168007,0.016776148031780132,0.002372505607092217
raised_floor_t3,500,oracle,50,0.42900000000000005,0.0473911211868525,0.0067021166318513735,0.19903555555555555,0.018697448434996145,0.002644218515854315,0.07917890706909826,0.009935407451825567,0.001405078796607443
raised_floor_t3,500,plugin_sd_nw,50,0.5748,0.05307830180449427,0.007506405427964812,0.2729911111111112,0.02347769659356259,0.0033202476935896828,0.12470882305468614,0.016556005300115976,0.0023413727234144854
raised_floor_t3,1000,fixed,50,0.7182,0.04415603132122288,0.006244605835504457,0.3373777777777777,0.017904705617383096,0.002532107751440091,0.2096985742913685,0.015412769623318159,0.00217969478350286
raised_floor_t3,1000,oracle,50,0.4367999999999999,0.05327786230926404,0.007534627545200755,0.19652888888888886,0.01750682924731902,0.002475839535570852,0.07527690063269069,0.010928971727661541,0.0015455900040051067
raised_floor_t3,1000,plugin_sd_nw,50,0.5392,0.057599603173236244,0.008145813999489906,0.2499955555555556,0.024018112339078128,0.003396674021252487,0.1084187107363644,0.015621575590006164,0.00220922440650232
