index,simulator,arm,group_bin,mean,std,count,mcse,x_mean
0,mm1_sojourn,fixed,0,0.9408,0.02798250182101778,50,0.003957323358441318,0.13992371061639625
1,mm1_sojourn,fixed,1,0.9174,0.03002108102854472,50,0.004245621994766957,0.218425684035836
2,mm1_sojourn,fixed,2,0.909,0.038025233297731914,50,0.005377580064205348,0.2987462705211413
3,mm1_sojourn,fixed,3,0.9034,0.0317265098706339,50,0.0044868060545814326,0.3789648261900551
4,mm1_sojourn,fixed,4,0.9006000000000001,0.03935241091595227,50,0.005565271322941873,0.45772101191625353
5,mm1_sojourn,fixed,5,0.8852,0.03569942547985663,50,0.005048661168254088,0.5362018238697973
6,mm1_sojourn,fixed,6,0.8818,0.03566796996792298,50,0.005044212687095292,0.6151927929290872
7,mm1_sojourn,fixed,7,0.8815999999999999,0.038191782426301606,50,0.005401133667847816,0.6972971200082506
8,mm1_sojourn,fixed,8,0.8837999999999999,0.03832673708405405,50,0.005420219138577708,0.7782930231816384
9,mm1_sojourn,fixed,9,0.8834000000000001,0.040183761569538914,50,0.00568284205988087,0.8594340097221079
10,mm1_sojourn,oracle,0,0.9057999999999999,0.03270711087884126,50,0.004625483979089791,0.13992371061639625
11,mm1_sojourn,oracle,1,0.8908,0.03262902176321702,50,0.004614440510450839,0.218425684035836
12,mm1_sojourn,oracle,2,0.897,0.03430059201012276,50,0.004850836241814183,0.2987462705211413
13,mm1_sojourn,oracle,3,0.8937999999999999,0.038750378536663285,50,0.00548013108736405,0.3789648261900551
14,mm1_sojourn,oracle,4,0.9012,0.029529646120466806,50,0.00417612260356422,0.45772101191625353
15,mm1_sojourn,oracle,5,0.8924,0.03531548772804062,50,0.004994364170681565,0.5362018238697973
16,mm1_sojourn,oracle,6,0.8978,0.031705919102313525,50,0.004483894080199597,0.6151927929290872
17,mm1_sojourn,oracle,7,0.8952,0.03072192596003509,50,0.0043447364354903695,0.6972971200082506
