index,simulator,arm,group_bin,mean,std,count,mcse,x_mean
0,mm1_sojourn,fixed,0,0.08600762893836034,0.00039637085940053256,50,5.6055304509371235e-05,0.13992371061639625
1,mm1_sojourn,fixed,1,0.07815743159641636,0.0007801934662932272,50,0.0001103360181306758,0.218425684035836
2,mm1_sojourn,fixed,2,0.07012537294788583,0.0010231313001357696,50,0.0001446926160740423,0.2987462705211413
3,mm1_sojourn,fixed,3,0.06210351738099445,0.0012196499032724793,50,0.00017248454345549738,0.3789648261900551
4,mm1_sojourn,fixed,4,0.0542278988083746,0.0012695028075568812,50,0.00017953480879176627,0.45772101191625353
5,mm1_sojourn,fixed,5,0.04637981761302022,0.0012190879602471823,50,0.00017240507271073176,0.5362018238697973
6,mm1_sojourn,fixed,6,0.038480720707091236,0.0010938505737047221,50,0.0001546938316542809,0.6151927929290872
7,mm1_sojourn,fixed,7,0.03027028799917489,0.0010561946229329382,50,0.00014936847602572983,0.6972971200082506
8,mm1_sojourn,fixed,8,0.02217069768183612,0.0008864458335337341,50,0.00012536237200925298,0.7782930231816384
9,mm1_sojourn,fixed,9,0.014056599027789163,0.0004303854766923753,50,6.086569781867667e-05,0.8594340097221079
10,mm1_sojourn,oracle,0,1.0,0.0,50,0.0,0.13992371061639625
11,mm1_sojourn,oracle,1,1.0,0.0,50,0.0,0.218425684035836
12,mm1_sojourn,oracle,2,1.0,0.0,50,0.0,0.2987462705211413
13,mm1_sojourn,oracle,3,1.0,0.0,50,0.0,0.3789648261900551
14,mm1_sojourn,oracle,4,1.0,0.0,50,0.0,0.45772101191625353
15,mm1_sojourn,oracle,5,1.0,0.0,50,0.0,0.5362018238697973
16,mm1_sojourn,oracle,6,1.0,0.0,50,0.0,0.6151927929290872
17,mm1_sojourn,oracle,7,1.0,0.0,50,0.0,0.6972971200082506
18,mm1_sojourn,oracle,8,1.0,0.0,50,0.0,0.7782930231816384
19,mm1_sojourn,oracle,9,1.0,0.0,50,0.0,0.8594340097221079
20,mm1_sojourn,plugin_sd_nw,0,1.0078040036026004,0.06166875437736511,50,0.00872127888151249,0.13992371061639625
21,mm1_sojourn,plugin_sd_nw,1,0.9688575604489549,0.051514455021718884,50,0.007285244094997364,0.218425684035836
22,mm1_sojourn,plugin_sd_nw,2,0.9514327903962078,0.04841976332263822,50,0.006847588597777033,0.2987462705211413
23,mm1_sojourn,plugin_sd_nw,3,0.9529054152663119,0.049927466653587126,50,0.007060810047643335,0.3789648261900551
24,mm1_sojourn,plugin_sd_nw,4,0.9665563663754492,0.05810579348803699,50,0.008217400120323218,0.45772101191625353
25,mm1_sojourn,plugin_sd_nw,5,0.9890356251973452,0.06274514122070841,50,0.008873502968734097,0.5362018238697973
26,mm1_sojourn,plugin_sd_nw,6,1.0137780990011358,0.05524329847067626,50,0.007812582192745523,0.6151927929290872
27,mm1_sojourn,plugin_sd_nw,7,1.0240614136727533,0.05627280522752034,50,0.007958176434553887,0.6972971200082506
28,mm1_sojourn,plugin_sd_nw,8,0.9585791623286206,0.06816455602453587,50,0.00963992396030393,0.7782930231816384
29,mm1_sojourn,plugin_sd_nw,9,0.7423560880785626,0.06601586762596837,50,0.00933605353284714,0.8594340097221079
30,raised_floor_gauss,fixed,0,0.05924167287106972,0.0014146697266600942,50,0.00020006451137213443,0.3071861850339204
31,raised_floor_gauss,fixed,1,0.0947662818063357,0.0054388898054119885,50,0.0007691751727066398,0.9331137665252216
32,raised_floor_gauss,fixed,2,0.1738908355641234,0.015901322967003275,50,0.0022487866599610815,1.569814365938953
33,raised_floor_gauss,fixed,3,0.3873194649984421,0.0465599753505946,50,0.006584574860456788,2.2191011939187306
34,raised_floor_gauss,fixed,4,0.8257495957399162,0.06705352845833162,50,0.009482800935074287,2.8526854164427875
35,raised_floor_gauss,fixed,5,0.7898423721349126,0.06776514616534317,50,0.009583438876322344,3.4864969210007986
36,raised_floor_gauss,fixed,6,0.3589253809573175,0.041455696120225996,50,0.00586272076908413,4.119582373969873
37,raised_floor_gauss,fixed,7,0.1690385060301749,0.011079382924302467,50,0.001566861359427343,4.735234106853218
38,raised_floor_gauss,fixed,8,0.09468845464408812,0.003939797062930238,50,0.0005571714439393629,5.349046594435866
39,raised_floor_gauss,fixed,9,0.05971282937419543,0.0013444147385772947,50,0.00019012895567502893,5.964820063881124
40,raised_floor_gauss,oracle,0,1.0,0.0,50,0.0,0.3071861850339204
41,raised_floor_gauss,oracle,1,1.0,0.0,50,0.0,0.9331137665252216
42,raised_floor_gauss,oracle,2,1.0,0.0,50,0.0,1.569814365938953
43,raised_floor_gauss,oracle,3,1.0,0.0,50,0.0,2.2191011939187306
44,raised_floor_gauss,oracle,4,1.0,0.0,50,0.0,2.8526854164427875
45,raised_floor_gauss,oracle,5,1.0,0.0,50,0.0,3.4864969210007986
46,raised_floor_gauss,oracle,6,1.0,0.0,50,0.0,4.119582373969873
47,raised_floor_gauss,oracle,7,1.0,0.0,50,0.0,4.735234106853218
48,raised_floor_gauss,oracle,8,1.0,0.0,50,0.0,5.349046594435866
49,raised_floor_gauss,oracle,9,1.0,0.0,50,0.0,5.964820063881124
50,raised_floor_gauss,plugin_sd_nw,0,0.7643758870348438,0.044097124413666484,50,0.006236275140746086,0.3071861850339204
51,raised_floor_gauss,plugin_sd_nw,1,0.9390839452422098,0.04859492719465385,50,0.006872360510121261,0.9331137665252216
52,raised_floor_gauss,plugin_sd_nw,2,1.1286476069074205,0.05374154966618367,50,0.007600202840086423,1.569814365938953
53,raised_floor_gauss,plugin_sd_nw,3,1.4246245565072153,0.07983628218674388,50,0.011290555303793873,2.2191011939187306
54,raised_floor_gauss,plugin_sd_nw,4,1.9512721221500389,0.10310616553236912,50,0.014581413766016176,2.8526854164427875
55,raised_floor_gauss,plugin_sd_nw,5,1.8999329680514796,0.0906484293966198,50,0.012819623826051967,3.4864969210007986
56,raised_floor_gauss,plugin_sd_nw,6,1.3786194921524138,0.07038559472846571,50,0.009954026266069243,4.119582373969873
