seed,arm,cov_score,cov_int,width,q_hat,mean_theta
20260800,ET,0.9010,0.8860,0.9081,-0.0264,0.05000
20260800,opt,0.8750,0.8740,0.7964,-0.0319,0.01290
20260800,bopt,0.8810,0.8770,0.8448,-0.0302,0.02177
20260801,ET,0.8850,0.8720,0.8733,-0.0309,0.05000
20260801,opt,0.8690,0.8700,0.8005,-0.0318,0.01278
20260801,bopt,0.8740,0.8720,0.8393,-0.0292,0.01924
20260802,ET,0.8660,0.8480,0.8136,-0.0420,0.05000
20260802,opt,0.8690,0.8660,0.7807,-0.0346,0.01402
20260802,bopt,0.8680,0.8580,0.8023,-0.0371,0.02314
20260803,ET,0.9120,0.9050,0.8879,-0.0283,0.05000
20260803,opt,0.9190,0.9230,0.9216,-0.0072,0.01130
20260803,bopt,0.9140,0.9150,0.9477,-0.0100,0.01567
20260804,ET,0.9110,0.8960,0.9071,-0.0253,0.05000
20260804,opt,0.9160,0.9170,0.8796,-0.0154,0.01324
20260804,bopt,0.9120,0.9100,0.8732,-0.0219,0.01659
20260805,ET,0.8930,0.8840,0.8371,-0.0403,0.05000
20260805,opt,0.9140,0.9120,0.8623,-0.0196,0.01196
20260805,bopt,0.9140,0.9120,0.8693,-0.0239,0.01868
20260806,ET,0.9040,0.8870,0.8543,-0.0316,0.05000
20260806,opt,0.9210,0.9240,0.8829,-0.0106,0.01363
20260806,bopt,0.9250,0.9250,0.9155,-0.0139,0.02344
20260807,ET,0.9270,0.9150,0.9512,-0.0192,0.05000
20260807,opt,0.9210,0.9250,0.9191,-0.0077,0.01102
20260807,bopt,0.9120,0.9150,0.8995,-0.0198,0.01900
20260808,ET,0.8940,0.8830,0.8836,-0.0303,0.05000
20260808,opt,0.8970,0.8950,0.8474,-0.0232,0.01326
20260808,bopt,0.8940,0.8930,0.8423,-0.0299,0.01986
20260809,ET,0.9030,0.8920,0.9185,-0.0249,0.05000
20260809,opt,0.9030,0.9030,0.8598,-0.0207,0.01276
20260809,bopt,0.9010,0.9000,0.8990,-0.0207,0.01898
20260810,ET,0.9180,0.9060,0.9158,-0.0259,0.05000
20260810,opt,0.9270,0.9300,0.8454,-0.0245,0.01234
20260810,bopt,0.9120,0.9080,0.8138,-0.0360,0.01828
20260811,ET,0.9150,0.9040,0.9047,-0.0244,0.05000
20260811,opt,0.9160,0.9240,0.8765,-0.0131,0.01182
20260811,bopt,0.9150,0.9170,0.8836,-0.0186,0.01642
20260812,ET,0.9030,0.8940,0.9218,-0.0198,0.05000
20260812,opt,0.8980,0.8940,0.8315,-0.0217,0.01295
20260812,bopt,0.8860,0.8880,0.8309,-0.0291,0.02022
20260813,ET,0.8900,0.8700,0.8491,-0.0336,0.05000
20260813,opt,0.8790,0.8810,0.7693,-0.0368,0.01192
20260813,bopt,0.8780,0.8760,0.7868,-0.0360,0.01612
20260814,ET,0.8990,0.8820,0.9033,-0.0286,0.05000
20260814,opt,0.8830,0.8840,0.8136,-0.0315,0.01037
20260814,bopt,0.9050,0.9030,0.9312,-0.0163,0.01648
20260815,ET,0.9100,0.9020,0.9318,-0.0188,0.05000
20260815,opt,0.8840,0.8810,0.7998,-0.0294,0.01299
20260815,bopt,0.8910,0.8860,0.8249,-0.0306,0.02079
20260816,ET,0.9110,0.8990,0.8997,-0.0262,0.05000
20260816,opt,0.8960,0.8980,0.8268,-0.0250,0.01350
20260816,bopt,0.8850,0.8780,0.8462,-0.0288,0.02099
20260817,ET,0.9050,0.8980,0.9406,-0.0192,0.05000
20260817,opt,0.8860,0.8870,0.8185,-0.0243,0.01264
20260817,bopt,0.8980,0.8960,0.8891,-0.0192,0.02077
20260818,ET,0.8930,0.8820,0.8751,-0.0287,0.05000
20260818,opt,0.9100,0.9120,0.9045,-0.0086,0.01384
20260818,bopt,0.9080,0.9070,0.9014,-0.0160,0.02064
20260819,ET,0.9220,0.9120,0.9815,-0.0139,0.05000
20260819,opt,0.8980,0.9000,0.8625,-0.0172,0.01197
20260819,bopt,0.9030,0.9010,0.9130,-0.0172,0.02076
20260820,ET,0.9020,0.8940,0.9122,-0.0215,0.05000
20260820,opt,0.8680,0.8690,0.7779,-0.0339,0.01186
20260820,bopt,0.8720,0.8700,0.7947,-0.0339,0.01738
20260821,ET,0.8990,0.8920,0.9253,-0.0255,0.05000
20260821,opt,0.8950,0.8980,0.8976,-0.0141,0.01248
20260821,bopt,0.8960,0.8920,0.9187,-0.0192,0.02084
20260822,ET,0.8770,0.8640,0.8758,-0.0316,0.05000
20260822,opt,0.8820,0.8890,0.8504,-0.0214,0.01166
20260822,bopt,0.8790,0.8830,0.8627,-0.0249,0.01544
20260823,ET,0.9090,0.8920,0.9013,-0.0260,0.05000
20260823,opt,0.9130,0.9150,0.8781,-0.0145,0.01265
20260823,bopt,0.9180,0.9170,0.9103,-0.0177,0.02215
20260824,ET,0.9220,0.9070,0.9026,-0.0253,0.05000
20260824,opt,0.9040,0.9090,0.8410,-0.0219,0.01258
20260824,bopt,0.9070,0.9070,0.8732,-0.0219,0.01757
20260825,ET,0.9060,0.8970,0.9130,-0.0182,0.05000
20260825,opt,0.9050,0.9090,0.9114,-0.0017,0.01337
20260825,bopt,0.9110,0.9150,0.9535,-0.0017,0.01628
20260826,ET,0.8910,0.8840,0.8884,-0.0261,0.05000
