seed,dgp,arm,cov,size,ncomp,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
20260900,gamma_ls,ET,0.9130,1.0048,1.000,0.9567,0.8694,0.8458,0.9468,0.9515,0.9612,0.9171,0.8841,0.8800,0.9286
20260900,gamma_ls,pcp,0.9135,1.1629,2.909,0.9327,0.8829,0.9154,0.9309,0.9394,0.9126,0.9275,0.8841,0.9250,0.8952
20260900,gamma_ls,pcp_scaled,0.9150,1.1769,3.133,0.9375,0.8829,0.9154,0.9309,0.9394,0.9369,0.9326,0.8841,0.9100,0.8905
20260901,gamma_ls,ET,0.8890,0.8841,1.000,0.9062,0.8551,0.9029,0.9565,0.9223,0.8744,0.8980,0.8325,0.9220,0.8057
20260901,gamma_ls,pcp,0.9045,1.0827,4.737,0.9271,0.8744,0.9466,0.9227,0.8835,0.9023,0.9133,0.9058,0.9073,0.8571
20260901,gamma_ls,pcp_scaled,0.8960,1.0656,4.899,0.9167,0.8599,0.9515,0.9275,0.8883,0.8884,0.9031,0.8901,0.9122,0.8114
20260902,gamma_ls,ET,0.9320,1.1286,1.000,0.9162,0.9468,0.8945,0.9434,0.9444,0.9581,0.9694,0.9784,0.8406,0.9393
20260902,gamma_ls,pcp,0.8985,1.1232,5.159,0.9162,0.8883,0.8899,0.9340,0.8939,0.8901,0.9286,0.9135,0.8502,0.8832
20260902,gamma_ls,pcp_scaled,0.8945,1.1115,4.822,0.9319,0.8777,0.8853,0.9198,0.8788,0.8953,0.9286,0.9081,0.8406,0.8832
20260903,gamma_ls,ET,0.9075,0.9865,1.000,0.8872,0.9238,0.8564,0.8900,0.9630,0.9163,0.9257,0.9381,0.8333,0.9366
20260903,gamma_ls,pcp,0.9070,1.1314,3.497,0.8974,0.9381,0.8936,0.9150,0.9101,0.9064,0.9059,0.9095,0.8990,0.8927
20260903,gamma_ls,pcp_scaled,0.8955,1.1123,4.638,0.8872,0.9381,0.8936,0.9200,0.9206,0.8818,0.8713,0.9048,0.8737,0.8634
20260904,gamma_ls,ET,0.8965,0.9405,1.000,0.8698,0.9272,0.8357,0.9062,0.9474,0.9149,0.9271,0.9105,0.8776,0.8631
20260904,gamma_ls,pcp,0.8920,1.1045,5.699,0.9167,0.9126,0.8638,0.9167,0.8684,0.8989,0.8906,0.8789,0.9082,0.8714
20260904,gamma_ls,pcp_scaled,0.8910,1.0976,5.465,0.9115,0.9126,0.8638,0.9167,0.8789,0.8989,0.9115,0.8737,0.8929,0.8589
20260905,gamma_ls,ET,0.9165,1.0062,1.000,0.9069,0.9598,0.8811,0.9261,0.9655,0.9545,0.9082,0.8779,0.8920,0.9053
20260905,gamma_ls,pcp,0.9095,1.1221,3.437,0.9069,0.9253,0.8899,0.9015,0.9360,0.9141,0.9235,0.9108,0.8967,0.8935
20260905,gamma_ls,pcp_scaled,0.9110,1.1358,3.822,0.8873,0.9310,0.8899,0.9015,0.9507,0.9293,0.9235,0.9108,0.9108,0.8757
20260906,gamma_ls,ET,0.8880,0.9774,1.000,0.8920,0.9067,0.9110,0.8710,0.8871,0.8868,0.8241,0.9204,0.8218,0.9539
20260906,gamma_ls,pcp,0.8900,1.1202,5.426,0.9202,0.8808,0.8953,0.8925,0.8656,0.8726,0.8442,0.8955,0.9059,0.9217
20260906,gamma_ls,pcp_scaled,0.8810,1.1069,4.880,0.9108,0.8705,0.8743,0.8710,0.8656,0.8679,0.8442,0.8905,0.8812,0.9263
20260907,gamma_ls,ET,0.9105,0.9229,1.000,0.9175,0.9430,0.8877,0.8832,0.8626,0.8916,0.9279,0.9091,0.9301,0.9482
20260907,gamma_ls,pcp,0.9075,1.0411,4.887,0.8592,0.9378,0.9198,0.9188,0.8846,0.8818,0.9234,0.8961,0.9194,0.9378
20260907,gamma_ls,pcp_scaled,0.9105,1.0615,3.423,0.8641,0.9378,0.9198,0.9188,0.8846,0.8916,0.9234,0.9004,0.9247,0.9430
20260908,gamma_ls,ET,0.8920,0.8912,1.000,0.9050,0.9058,0.8465,0.9200,0.9247,0.9101,0.9109,0.7837,0.8821,0.9381
20260908,gamma_ls,pcp,0.8850,1.0587,5.114,0.8950,0.9162,0.8812,0.8850,0.8495,0.8677,0.8911,0.8558,0.8915,0.9143
20260908,gamma_ls,pcp_scaled,0.8925,1.0819,4.697,0.8850,0.9110,0.8861,0.9250,0.8656,0.8730,0.9059,0.8365,0.9198,0.9143
20260909,gamma_ls,ET,0.8980,0.9588,1.000,0.8900,0.8973,0.9196,0.9100,0.9272,0.9257,0.9492,0.7717,0.8817,0.9163
20260909,gamma_ls,pcp,0.8805,1.0701,4.389,0.8900,0.8162,0.8693,0.9147,0.9223,0.8762,0.9086,0.8995,0.8580,0.8374
20260909,gamma_ls,pcp_scaled,0.8790,1.0758,5.010,0.9091,0.8216,0.8794,0.9242,0.9223,0.8861,0.9188,0.8584,0.8462,0.8128
20260910,gamma_ls,ET,0.9270,1.0074,1.000,0.8883,0.8929,0.9209,0.9032,0.9417,0.9417,0.9668,0.9282,0.9289,0.9516
20260910,gamma_ls,pcp,0.9275,1.2057,3.462,0.8989,0.9184,0.9302,0.9462,0.9272,0.9320,0.9194,0.9139,0.9137,0.9785
20260910,gamma_ls,pcp_scaled,0.9280,1.2171,2.932,0.8936,0.9184,0.9302,0.9462,0.9272,0.9320,0.9289,0.9187,0.9137,0.9731
20260911,gamma_ls,ET,0.8960,0.9777,1.000,0.9463,0.8278,0.8683,0.8673,0.9069,0.9602,0.9358,0.8341,0.8442,0.9669
20260911,gamma_ls,pcp,0.8880,1.1026,5.527,0.8976,0.8944,0.8927,0.8980,0.8529,0.9303,0.8761,0.8910,0.8693,0.8785
20260911,gamma_ls,pcp_scaled,0.8840,1.0982,4.865,0.8976,0.8500,0.8683,0.8827,0.8529,0.9254,0.8807,0.8863,0.8844,0.9116
20260912,gamma_ls,ET,0.8945,0.9392,1.000,0.8981,0.8663,0.9009,0.9458,0.9082,0.8906,0.8696,0.8507,0.8714,0.9457
20260912,gamma_ls,pcp,0.9065,1.0922,3.396,0.8738,0.9208,0.9099,0.9113,0.9184,0.8958,0.9022,0.8955,0.9048,0.9348
20260912,gamma_ls,pcp_scaled,0.9140,1.1170,3.586,0.8932,0.9406,0.9189,0.9212,0.9337,0.8958,0.9022,0.8905,0.9048,0.9402
20260913,gamma_ls,ET,0.8840,0.8664,1.000,0.9309,0.8854,0.8895,0.8541,0.8551,0.8170,0.9045,0.9162,0.9009,0.9032
20260913,gamma_ls,pcp,0.8635,1.0030,5.375,0.8830,0.8542,0.8789,0.8865,0.8879,0.8000,0.8764,0.8827,0.8514,0.8525
20260913,gamma_ls,pcp_scaled,0.8615,1.0008,5.248,0.8989,0.8594,0.8789,0.8865,0.8692,0.7957,0.8764,0.8715,0.8514,0.8479
20260914,gamma_ls,ET,0.8860,0.9349,1.000,0.8398,0.9112,0.8634,0.8495,0.9058,0.9550,0.8883,0.9061,0.8473,0.8889
20260914,gamma_ls,pcp,0.8685,1.0597,5.078,0.8350,0.8598,0.9180,0.8495,0.7801,0.8900,0.8932,0.8638,0.8867,0.9091
20260914,gamma_ls,pcp_scaled,0.8740,1.0571,4.865,0.8252,0.8832,0.9344,0.8441,0.8534,0.8950,0.8786,0.8545,0.8818,0.8939
20260915,gamma_ls,ET,0.8685,0.8995,1.000,0.8904,0.8214,0.8477,0.7990,0.9286,0.8600,0.8911,0.8342,0.9111,0.9105
20260915,gamma_ls,pcp,0.9070,1.1336,3.537,0.9406,0.8929,0.9036,0.9095,0.9490,0.8900,0.9059,0.8808,0.9389,0.8579
20260915,gamma_ls,pcp_scaled,0.9065,1.1320,4.179,0.9406,0.8973,0.9036,0.9045,0.9439,0.8850,0.9059,0.8860,0.9389,0.8579
20260916,gamma_ls,ET,0.9115,1.0211,1.000,0.9109,0.9268,0.9543,0.9024,0.8900,0.9511,0.8404,0.9010,0.9137,0.9219
20260916,gamma_ls,pcp,0.9015,1.1461,3.277,0.8762,0.9171,0.9029,0.9171,0.8612,0.8933,0.8883,0.9109,0.9137,0.9375
20260916,gamma_ls,pcp_scaled,0.9140,1.1803,3.538,0.8812,0.9268,0.9314,0.9463,0.9139,0.9200,0.8777,0.8960,0.9036,0.9427
20260917,gamma_ls,ET,0.8795,0.9144,1.000,0.8402,0.8598,0.8438,0.8894,0.8848,0.9015,0.8497,0.8960,0.8718,0.9493
20260917,gamma_ls,pcp,0.8860,1.0650,5.277,0.8814,0.8458,0.8698,0.8543,0.9162,0.8867,0.8912,0.9455,0.8974,0.8756
20260917,gamma_ls,pcp_scaled,0.8835,1.0669,5.019,0.8557,0.8551,0.8750,0.8643,0.9215,0.8768,0.8808,0.9406,0.8974,0.8710
20260918,gamma_ls,ET,0.8900,0.9420,1.000,0.9528,0.8667,0.9104,0.8465,0.9362,0.9153,0.8806,0.8770,0.8458,0.8711
20260918,gamma_ls,pcp,0.8855,1.1297,5.397,0.9057,0.9156,0.8557,0.8861,0.9043,0.8836,0.8806,0.8770,0.8955,0.8454
20260918,gamma_ls,pcp_scaled,0.8925,1.1564,4.163,0.9340,0.9200,0.8955,0.8861,0.9096,0.8836,0.8955,0.8717,0.9005,0.8196
20260919,gamma_ls,ET,0.9270,1.0182,1.000,0.9062,0.8743,0.9531,0.9048,0.9053,0.9709,0.9571,0.9146,0.9412,0.9356
20260919,gamma_ls,pcp,0.9180,1.1474,3.631,0.9271,0.8796,0.8967,0.9143,0.8947,0.9612,0.9000,0.9447,0.9465,0.9158
