seed,arm,cov_score,cov_int,width,q_hat,mean_theta
20260716,ET,0.9370,0.9330,1.1085,-0.0029,0.05000
20260716,opt,0.9350,0.9380,3.0161,0.0240,0.01654
20260716,bopt,0.9310,0.9330,2.3831,0.0186,0.02323
20260717,ET,0.9250,0.9140,1.0360,-0.0086,0.05000
20260717,opt,0.9250,0.9270,1.3647,0.0029,0.01573
20260717,bopt,0.9280,0.9220,1.0301,-0.0027,0.02754
20260718,ET,0.9250,0.9150,1.0652,-0.0085,0.05000
20260718,opt,0.9260,0.9250,1.1540,0.0001,0.01531
20260718,bopt,0.9260,0.9230,1.0509,-0.0021,0.02388
20260719,ET,0.8770,0.8670,0.8755,-0.0473,0.05000
20260719,opt,0.9160,0.9160,0.9109,-0.0245,0.01278
20260719,bopt,0.8940,0.8840,0.8549,-0.0438,0.02049
20260720,ET,0.8920,0.8800,0.9495,-0.0249,0.05000
20260720,opt,0.8790,0.8760,0.8230,-0.0386,0.01682
20260720,bopt,0.8840,0.8750,0.8483,-0.0362,0.02093
20260721,ET,0.8550,0.8410,0.8324,-0.0386,0.05000
20260721,opt,0.8350,0.8310,0.7519,-0.0473,0.01638
20260721,bopt,0.8390,0.8330,0.7604,-0.0473,0.01967
20260722,ET,0.9090,0.9050,0.9465,-0.0249,0.05000
20260722,opt,0.9120,0.9180,0.9688,-0.0034,0.01381
20260722,bopt,0.9270,0.9270,1.0281,-0.0060,0.02213
20260723,ET,0.8930,0.8880,0.9300,-0.0248,0.05000
20260723,opt,0.8870,0.8910,0.8811,-0.0181,0.01782
20260723,bopt,0.8930,0.8910,0.9134,-0.0224,0.02805
20260724,ET,0.8950,0.8770,0.9943,-0.0168,0.05000
20260724,opt,0.9060,0.9070,0.9338,-0.0111,0.01771
20260724,bopt,0.9020,0.9040,0.9841,-0.0111,0.02478
20260725,ET,0.8800,0.8770,0.9197,-0.0202,0.05000
20260725,opt,0.8790,0.8800,0.9102,-0.0040,0.01626
20260725,bopt,0.8790,0.8790,0.9260,-0.0145,0.02370
20260726,ET,0.8930,0.8840,0.8885,-0.0309,0.05000
20260726,opt,0.9050,0.9090,0.8943,-0.0117,0.01374
20260726,bopt,0.9040,0.8990,0.8813,-0.0256,0.02479
20260727,ET,0.8860,0.8760,0.9205,-0.0306,0.05000
20260727,opt,0.8920,0.8920,0.8944,-0.0187,0.01696
20260727,bopt,0.8990,0.8990,0.9414,-0.0200,0.02553
20260728,ET,0.8820,0.8660,0.9331,-0.0298,0.05000
20260728,opt,0.8930,0.8960,0.9126,-0.0191,0.01656
20260728,bopt,0.8960,0.8950,0.9209,-0.0225,0.02083
20260729,ET,0.9170,0.8980,1.0241,-0.0078,0.05000
20260729,opt,0.9030,0.9030,0.9289,-0.0074,0.01437
20260729,bopt,0.8890,0.8820,0.8872,-0.0227,0.02338
20260730,ET,0.9290,0.9210,1.0336,-0.0226,0.05000
20260730,opt,0.9130,0.9180,0.9599,-0.0134,0.01391
20260730,bopt,0.9080,0.9040,0.9728,-0.0261,0.02571
20260731,ET,0.9110,0.9060,0.9653,-0.0148,0.05000
20260731,opt,0.9130,0.9170,1.1481,0.0025,0.01586
20260731,bopt,0.9120,0.9180,0.9805,-0.0028,0.02379
20260800,ET,0.9010,0.8860,0.9081,-0.0264,0.05000
20260800,opt,0.8750,0.8740,0.7964,-0.0319,0.01290
20260800,bopt,0.8810,0.8770,0.8448,-0.0302,0.02177
20260801,ET,0.8850,0.8720,0.8733,-0.0309,0.05000
20260801,opt,0.8690,0.8700,0.8005,-0.0318,0.01278
20260801,bopt,0.8740,0.8720,0.8393,-0.0292,0.01924
20260802,ET,0.8660,0.8480,0.8136,-0.0420,0.05000
20260802,opt,0.8690,0.8660,0.7807,-0.0346,0.01402
20260802,bopt,0.8680,0.8580,0.8023,-0.0371,0.02314
20260803,ET,0.9120,0.9050,0.8879,-0.0283,0.05000
20260803,opt,0.9190,0.9230,0.9216,-0.0072,0.01130
20260803,bopt,0.9140,0.9150,0.9477,-0.0100,0.01567
20260804,ET,0.9110,0.8960,0.9071,-0.0253,0.05000
20260804,opt,0.9160,0.9170,0.8796,-0.0154,0.01324
20260804,bopt,0.9120,0.9100,0.8732,-0.0219,0.01659
20260805,ET,0.8930,0.8840,0.8371,-0.0403,0.05000
20260805,opt,0.9140,0.9120,0.8623,-0.0196,0.01196
20260805,bopt,0.9140,0.9120,0.8693,-0.0239,0.01868
20260806,ET,0.9040,0.8870,0.8543,-0.0316,0.05000
20260806,opt,0.9210,0.9240,0.8829,-0.0106,0.01363
20260806,bopt,0.9250,0.9250,0.9155,-0.0139,0.02344
20260807,ET,0.9270,0.9150,0.9512,-0.0192,0.05000
20260807,opt,0.9210,0.9250,0.9191,-0.0077,0.01102
20260807,bopt,0.9120,0.9150,0.8995,-0.0198,0.01900
